No,SU,Reason,State name  ,Sector
1,507,insecure,Blue Nile /sennar,Central
2,529,insecure,Blue Nile /sennar,Central
3,572,insecure,Blue Nile /sennar,Central
4,626,insecure,Blue Nile /sennar,Central
5,653,insecure,Blue Nile /sennar,Central
6,654,insecure,Blue Nile /sennar,Central
7,655,insecure,Blue Nile /sennar,Central
8,679,insecure,Blue Nile /sennar,Central
9,698,insecure,Blue Nile /sennar,Central
10,699,insecure,Blue Nile /sennar,Central
11,809,insecure,Blue Nile /sennar,Central
12,810,insecure,Blue Nile /sennar,Central
13,832,insecure,Blue Nile /sennar,Central
14,833,insecure,Blue Nile /sennar,Central
15,912,insecure,Blue Nile /sennar,Central
16,913,insecure,Blue Nile /sennar,Central
17,914,insecure,Blue Nile /sennar,Central
18,915,insecure,Blue Nile /sennar,Central
19,916,insecure,Blue Nile /sennar,Central
20,941,insecure,Blue Nile /sennar,Central
21,942,insecure,Blue Nile /sennar,Central
22,964,insecure,Blue Nile /sennar,Central
23,981,insecure,Blue Nile /sennar,Central
24,992,insecure,Blue Nile /sennar,Central
25,1009,insecure,Blue Nile /sennar,Central
26,656,insecure,Blue Nile /sennar,Central
27,550,insecure,Blue Nile /sennar,Central
28,527,insecure,Blue Nile /sennar,Central
29,856,insecure,Blue Nile /sennar,Central
30,766,Insecurity,Central Darfur ,Darfur
31,486,Insecurity ,Central Darfur ,Darfur
32,485,at top of mountian area ,Central Darfur ,Darfur
33,487,insecurity,Central Darfur ,Darfur
34,531,at top of mountian area ,Central Darfur ,Darfur
35,532,at top of mountian area ,Central Darfur ,Darfur
36,707,Insecurity ,East  Darfur,Darfur
37,706,(located in south Sudan boundary),East Darfur,Darfur
38,985,located in south Sudan Boundary,East Darfur,Darfur
39,987,located in south Sudan Boundary,East Darfur,Darfur
40,986,Located in Sudan in  military arms of South Sudan,East Darfur,Darfur
41,988,Located in Sudan in  military arms of South Sudan,East Darfur,Darfur
42,716,Closed area (conflicts),South Darfur,Darfur
43,996,Closed area (conflicts),South Darfur,Darfur
44,725,Closed area (conflicts),South Darfur,Darfur
45,722,Closed area (conflicts),South Darfur,Darfur
46,968,Closed area (conflicts),South Darfur,Darfur
47,767,Top of Jebbel Marra (army area),South Darfur,Darfur
48,514,Located at top of the a hill,South Darfur,Darfur
49,720,army areas,South Darfur,Darfur
50,724,army areas,South Darfur,Darfur
51,993,Conflicts,South Darfur,Darfur
52,983,Conflicts,South Darfur,Darfur
53,982,Conflicts,South Darfur,Darfur
54,723,Insecurity,South Darfur,Darfur
55,997,Insecurity,South Darfur,Darfur
56,995,Insecurity,South Darfur,Darfur
57,702,Insecurity,South Darfur,Darfur
58,781,Insecurity,South Darfur,Darfur
59,503,Insecurity,South Darfur,Darfur
60,502,Army area (Rebels),South Darfur ,Darfur
61,998,Insecurity (conflicts) ,South Darfur ,Darfur
62,721,Insecurity (conflicts),South Darfur ,Darfur
63,496,at top of mountian area ,West Darfur ,Darfur
64,761,at top of mountian area ,West Darfur ,Darfur
65,468,at top of mountian area ,West Darfur ,Darfur
66,495,Insecurity ,Gedarif,Eastern
67,734,Inside Ethiopian scheme in Sudanese land ,Gedarif,Eastern
68,746,Inside Ethiopian scheme in Sudanese land ,Gedarif,Eastern
69,878,Insecurity,South Kordofan- Abujebaha,Kordofan
70,591,Insecurity,South Kordofan- Abujebaha,Kordofan
71,909,Insecurity,South Kordofan- Abujebaha,Kordofan
72,651,Insecurity,South Kordofan- Abujebaha,Kordofan
73,938,Insecurity,South Kordofan- Abujebaha,Kordofan
74,623,Insecurity,South Kordofan- Abujebaha,Kordofan
75,881,Insecurity,South Kordofan- Abujebaha,Kordofan
76,939,Insecurity,South Kordofan- Abujebaha,Kordofan
77,652,Insecurity,South Kordofan- Abujebaha,Kordofan
78,678,Insecurity,South Kordofan- Abujebaha,Kordofan
79,911,Insecurity,South Kordofan- Abujebaha,Kordofan
80,624,Insecurity,South Kordofan- Abujebaha,Kordofan
81,697,Insecurity,South Kordofan- Abujebaha,Kordofan
82,563,Insecurity,South Kordofan- Dalanj,Kordofan
83,844,Insecurity,South Kordofan- Dalanj,Kordofan
84,845,Insecurity,South Kordofan- Dalanj,Kordofan
85,846,Insecurity,South Kordofan- Dalanj,Kordofan
86,847,Insecurity,South Kordofan- Dalanj,Kordofan
87,589,Insecurity,South Kordofan- Dalanj,Kordofan
88,590,Insecurity,South Kordofan- Dalanj,Kordofan
89,876,Insecurity,South Kordofan- Dalanj,Kordofan
90,560,Insecurity,South Kordofan- Dalanj,Kordofan
91,594,Insecurity,South Kordofan- Dalanj,Kordofan
92,618,Insecurity,South Kordofan- Kadoglei,Kordofan
93,619,Insecurity,South Kordofan- Kadoglei,Kordofan
94,646,Insecurity,South Kordofan- Kadoglei,Kordofan
95,904,Insecurity,South Kordofan- Kadoglei,Kordofan
96,647,Insecurity,South Kordofan- Kadoglei,Kordofan
97,648,Insecurity,South Kordofan- Kadoglei,Kordofan
98,906,Insecurity,South Kordofan- Kadoglei,Kordofan
99,907,Insecurity,South Kordofan- Kadoglei,Kordofan
100,934,Insecurity,South Kordofan- Kadoglei,Kordofan
101,674,Insecurity,South Kordofan- Kadoglei,Kordofan
102,877,Insecurity,South Kordofan- Kadoglei,Kordofan
103,564,Insecurity,South Kordofan- Rashad,Kordofan
104,565,Insecurity,South Kordofan- Rashad,Kordofan
105,823,Insecurity,South Kordofan- Rashad,Kordofan
106,824,Insecurity,South Kordofan- Rashad,Kordofan
107,819,Insecurity,South Kordofan- Rashad,Kordofan
108,542,Insecurity,South Kordofan- Rashad,Kordofan
109,935,Insecurity,South Kordofan- Talodei,Kordofan
110,675,Insecurity,South Kordofan- Talodei,Kordofan
111,694,Insecurity,South Kordofan- Talodei,Kordofan
112,959,Insecurity,South Kordofan- Talodei,Kordofan
113,696,Insecurity,South Kordofan- Talodei,Kordofan
114,979,Insecurity,South Kordofan- Talodei,Kordofan
115,678,Insecurity,South Kordofan- Talodei,Kordofan
116,962,Insecurity,South Kordofan- Talodei,Kordofan
117,980,Insecurity,South Kordofan- Talodei,Kordofan
118,620,Insecurity,South Kordofan- Talodei,Kordofan
119,712,Insecurity,South Kordofan- Talodei,Kordofan
120,974,Insecurity,West Kordofan-Abuyei,Kordofan
121,975,Insecurity,West Kordofan-Abuyei,Kordofan
122,976,Insecurity,West Kordofan-Abuyei,Kordofan
123,977,Insecurity,West Kordofan-Abuyei,Kordofan
124,708,Insecurity,West Kordofan-Abuyei,Kordofan
125,690,Insecurity,West Kordofan-Abuyei,Kordofan
126,709,Insecurity,West Kordofan-Abuyei,Kordofan
127,710,Insecurity,West Kordofan-Abuyei,Kordofan
128,711,Insecurity,West Kordofan-Abuyei,Kordofan
129,989,Insecurity,West Kordofan-Abuyei,Kordofan
130,991,Insecurity,West Kordofan-Abuyei,Kordofan
131,717,Insecurity,West Kordofan-Abuyei,Kordofan
132,718,Insecurity,West Kordofan-Abuyei,Kordofan
133,643,Insecurity,West Kordofan-Abuyei,Kordofan
134,930,Insecurity,West Kordofan-Abuyei,Kordofan
135,931,Insecurity,West Kordofan-Abuyei,Kordofan
136,670,Insecurity,West Kordofan-Abuyei,Kordofan
137,954,Insecurity,West Kordofan-Abuyei,Kordofan
138,955,Insecurity,West Kordofan-Abuyei,Kordofan
139,990,Insecurity,West Kordofan-Abuyei,Kordofan
140,691,Insecurity,West Kordofan-Abuyei,Kordofan
141,672,Insecurity,West Kordofan-Hejleij,Kordofan
142,673,Insecurity,West Kordofan-Hejleij,Kordofan
143,957,Insecurity,West Kordofan-Hejleij,Kordofan
144,958,Insecurity,West Kordofan-Hejleij,Kordofan
145,693,Insecurity,West Kordofan-Hejleij,Kordofan
146,537,Insecurity,West Kordofan-Sunoot,Kordofan
