"su_su_no","plot_plot_no","shrub_rsp_no","shrub_lucs","shrub_no","shrub_species_code","shrub_species_scientific_name","shrub_species_vernacular_name","shrub_stem_no","shrub_avg_stem_diameter","shrub_avg_stem_diameter_unit_name","shrub_diameter_height","shrub_diameter_height_unit_name","shrub_avg_height","shrub_avg_height_unit_name"
"0434","1","3","1","1","CAL/PRO","Calotropis procera","","5","13.0","","0.5","","3.0",""
"0434","2","3","2","1","CAL/PRO","Calotropis procera","","8","12.0","","100.0","","4.0",""
"0434","2","3","2","2","CAL/PRO","Calotropis procera","","3","8.0","","100.0","","3.0",""
"0434","2","3","2","3","CAL/PRO","Calotropis procera","","3","9.0","","100.0","","3.0",""
"0434","2","3","2","4","LEP/ARB","Leptadenia arborea","","3","6.0","","100.0","","3.0",""
"0434","2","3","2","5","CAL/PRO","Calotropis procera","","3","9.0","","100.0","","3.0",""
"0434","2","3","2","6","LEP/PYR","Leptadenia pyrotechnica","","4","8.0","","60.0","","5.0",""
"0434","2","3","2","7","LEP/PYR","Leptadenia pyrotechnica","","3","7.0","","60.0","","3.0",""
"0434","3","1","1","1","CAL/PRO","Calotropis procera","","7","12.0","","50.0","","2.5",""
"0434","3","1","1","2","CAL/PRO","Calotropis procera","","4","8.0","","70.0","","3.0",""
"0434","3","2","1","3","CAL/PRO","Calotropis procera","","3","15.0","","80.0","","4.0",""
"0434","3","2","1","4","CAL/PRO","Calotropis procera","","4","8.0","","60.0","","2.0",""
"0434","3","2","1","5","LEP/PYR","Leptadenia pyrotechnica","","4","7.0","","100.0","","4.0",""
"0928","1","1","1","1","GUI/SEN","Guiera senegalensis","","2","3.0","","50.0","","2.0",""
"0928","1","1","1","2","GUI/SEN","Guiera senegalensis","","2","6.0","","50.0","","3.0",""
"0928","1","1","1","3","GUI/SEN","Guiera senegalensis","","3","4.0","","50.0","","2.5",""
"0928","1","1","1","4","GUI/SEN","Guiera senegalensis","","2","4.5","","","","3.0",""
"0928","1","1","1","5","GUI/SEN","Guiera senegalensis","","4","7.0","","50.0","","3.0",""
"0928","1","1","1","6","GUI/SEN","Guiera senegalensis","","5","6.0","","50.0","","3.0",""
"0928","1","1","1","7","GUI/SEN","Guiera senegalensis","","5","6.0","","50.0","","3.0",""
"0928","2","2","1","1","GUI/SEN","Guiera senegalensis","","2","3.0","","50.0","","3.0",""
"0689","4","3","1","1","GUI","Guiera sp.","","3","10.0","","50.0","","6.0",""
"0689","4","3","1","2","GUI","Guiera sp.","","2","9.0","","50.0","","3.0",""
"0689","4","3","1","3","GUI","Guiera sp.","","1","6.0","","50.0","","3.0",""
"0689","4","3","1","4","GUI/SEN","Guiera senegalensis","","3","7.0","","50.0","","3.0",""
"0689","4","3","1","5","GUI/SEN","Guiera senegalensis","","1","6.0","","50.0","","1.0",""
"0689","4","3","1","6","GUI/SEN","Guiera senegalensis","","3","5.0","","50.0","","2.0",""
"0689","4","3","1","7","GUI/SEN","Guiera senegalensis","","4","8.0","","50.0","","6.0",""
"0689","4","3","1","8","GUI/SEN","Guiera senegalensis","","1","5.0","","50.0","","2.0",""
"0689","4","3","1","9","GUI/SEN","Guiera senegalensis","","1","5.0","","50.0","","2.0",""
"0797","1","3","1","1","ACA/NUB","Acacia nubica","","8","6.0","","0.5","","2.0",""
"0797","3","2","1","1","LEP/PYR","Leptadenia pyrotechnica","","7","8.0","","0.3","","2.0",""
"0433","3","1","1","1","LEP/PYR","Leptadenia pyrotechnica","","2","6.0","","0.5","","3.0",""
"0953","2","2","1","1","BAU","Bauhinia sp.","","3","4.0","","0.5","","3.0",""
"0953","2","2","1","2","BAU","Bauhinia sp.","","1","4.0","","0.5","","3.0",""
"0953","2","2","1","3","BAU","Bauhinia sp.","","2","4.5","","0.5","","3.0",""
"0953","2","2","1","4","BAU","Bauhinia sp.","","3","3.0","","0.5","","2.5",""
"0953","2","2","1","5","BAU","Bauhinia sp.","","1","4.0","","0.5","","2.0",""
"0953","1","1","1","1","GUI/SEN","Guiera senegalensis","","3","4.0","","0.5","","3.0",""
"0799","1","","","1","","","","","","","","","",""
"0910","4","3","1","1","DIC/CIN","Dichrostachys cinerea","","2","3.0","","0.5","","3.0",""
"0910","4","3","1","2","DIC/CIN","Dichrostachys cinerea","","2","4.0","","0.5","","3.0",""
"0910","4","3","1","3","DIC/CIN","Dichrostachys cinerea","","2","3.0","","0.5","","1.0",""
"0910","4","3","1","4","DIC/CIN","Dichrostachys cinerea","","1","3.0","","0.5","","1.0",""
"0871","1","1","1","1","GUI/SEN","Guiera senegalensis","","2","2.5","","50.0","","2.0",""
"0871","1","1","1","2","GUI/SEN","Guiera senegalensis","","3","3.0","","50.0","","2.5",""
"0871","1","2","1","3","GUI/SEN","Guiera senegalensis","","1","5.0","","50.0","","3.0",""
"0871","1","3","1","4","GUI/SEN","Guiera senegalensis","","3","4.0","","50.0","","3.0",""
"0871","1","3","1","5","GUI/SEN","Guiera senegalensis","","4","4.0","","50.0","","3.0",""
"0871","3","3","1","1","GUI/SEN","Guiera senegalensis","","2","3.5","","50.0","","3.0",""
"0871","3","3","1","2","GUI/SEN","Guiera senegalensis","","1","7.0","","50.0","","3.5",""
"0871","4","1","1","1","GUI/SEN","Guiera senegalensis","","2","3.0","","50.0","","3.0",""
"0871","4","1","1","2","GUI/SEN","Guiera senegalensis","","3","7.0","","50.0","","6.0",""
"0871","4","1","1","3","GUI/SEN","Guiera senegalensis","","4","5.5","","50.0","","4.0",""
"0871","4","1","1","4","GUI/SEN","Guiera senegalensis","","2","3.0","","50.0","","2.5",""
"0871","4","1","1","5","GUI/SEN","Guiera senegalensis","","1","11.0","","50.0","","6.0",""
"0871","4","1","1","6","GUI/SEN","Guiera senegalensis","","1","4.0","","50.0","","3.0",""
"0871","4","1","1","7","GUI/SEN","Guiera senegalensis","","4","3.0","","50.0","","4.0",""
"0613","1","1","1","1","GRE","Grewia sp.","","4","4.0","","50.0","","2.0",""
"0613","1","1","1","2","GUI","Guiera sp.","","1","4.0","","50.0","","3.0",""
"0613","1","1","1","3","GUI","Guiera sp.","","1","5.0","","50.0","","3.0",""
"0613","1","2","1","4","GUI","Guiera sp.","","2","3.0","","50.0","","2.5",""
"0613","1","2","1","5","GUI/SEN","Guiera senegalensis","","2","3.5","","50.0","","2.0",""
"0613","1","3","1","6","GUI/SEN","Guiera senegalensis","","2","3.0","","50.0","","2.5",""
"0613","1","2","1","7","GUI/SEN","Guiera senegalensis","","1","3.0","","50.0","","2.0",""
"0613","1","2","1","8","GUI/SEN","Guiera senegalensis","","1","3.0","","50.0","","2.0",""
"0613","1","2","1","9","GUI/SEN","Guiera senegalensis","","2","3.5","","50.0","","3.0",""
"0613","1","3","1","10","GUI/SEN","Guiera senegalensis","","2","5.0","","50.0","","2.5",""
"0613","1","3","1","11","GUI/SEN","Guiera senegalensis","","5","6.0","","50.0","","2.0",""
"0613","1","3","1","12","GUI/SEN","Guiera senegalensis","","5","3.0","","50.0","","2.5",""
"0613","1","3","1","13","GUI/SEN","Guiera senegalensis","","3","6.0","","50.0","","3.0",""
"0613","2","2","1","1","GUI/SEN","Guiera senegalensis","","1","8.0","","0.5","","3.0",""
"0613","2","3","1","2","GUI/SEN","Guiera senegalensis","","2","8.0","","50.0","","4.0",""
"0613","2","3","1","3","GUI/SEN","Guiera senegalensis","","1","13.0","","0.5","","4.0",""
"0613","2","3","1","4","GUI/SEN","Guiera senegalensis","","3","8.0","","0.5","","4.0",""
"0613","4","1","1","1","GUI/SEN","Guiera senegalensis","","1","4.0","","50.0","","2.0",""
"0613","4","2","1","2","GUI/SEN","Guiera senegalensis","","6","4.0","","0.5","","3.0",""
"0522","1","2","1","1","ACA/NUB","Acacia nubica","","10","5.0","","0.5","","3.0",""
"0522","3","2","1","1","ACA/NUB","Acacia nubica","","1","3.0","","0.5","","2.5",""
"0640","1","2","1","1","GUI","Guiera sp.","","2","10.0","","100.0","","2.0",""
"0567","1","3","1","1","DIC/CIN","Dichrostachys cinerea","","3","5.0","","0.5","","3.0",""
"0435","1","2","1","1","CAL/PRO","Calotropis procera","","5","14.0","","0.5","","2.5",""
"0435","1","3","1","2","CAL/PRO","Calotropis procera","","4","11.0","","0.7","","3.5",""
"0435","2","2","1","1","CAL/PRO","Calotropis procera","","4","9.0","","0.7","","2.0",""
"0435","2","3","1","2","CAL/PRO","Calotropis procera","","5","12.0","","0.6","","1.8",""
"0435","3","1","1","1","CAL/PRO","Calotropis procera","","4","14.0","","0.6","","2.5",""
"0435","4","1","1","1","CAL/PRO","Calotropis procera","","5","10.0","","1.1","","2.0",""
"0435","4","2","1","2","GUI/SEN","Guiera senegalensis","","8","0.8","","0.6","","2.0",""
"0518","1","2","1","1","GUI/SEN","Guiera senegalensis","","2","5.0","","0.5","","1.5",""
"0518","1","3","1","2","BOC/SEN","Boscia senegalensis","","5","7.0","","","","3.0",""
"0518","2","2","1","1","CAL/PRO","Calotropis procera","","1","12.0","","1.3","","3.5",""
"0614","1","2","2","1","GUI/SEN","Guiera senegalensis","","3","7.0","","50.0","","2.0",""
"0614","2","2","1","1","GUI/SEN","Guiera senegalensis","","3","7.0","","50.0","","3.5",""
"0614","3","2","1","1","GUI/SEN","Guiera senegalensis","","3","5.0","","50.0","","3.5",""
"0614","3","3","1","2","GUI/SEN","Guiera senegalensis","","2","3.0","","50.0","","2.0",""
"0614","4","1","1","1","GUI/SEN","Guiera senegalensis","","2","4.0","","50.0","","2.0",""
"0614","4","2","1","2","GUI/SEN","Guiera senegalensis","","1","11.0","","50.0","","4.0",""
"0614","4","2","1","3","GUI/SEN","Guiera senegalensis","","2","8.0","","50.0","","4.0",""
"0614","4","3","1","4","GRE","Grewia sp.","","2","4.0","","50.0","","3.0",""
"0615","3","3","1","1","GRE","Grewia sp.","","1","4.0","","50.0","","3.0",""
"0615","4","2","1","1","GUI/SEN","Guiera senegalensis","","2","5.0","","50.0","","2.0",""
"0615","4","2","1","2","GUI/SEN","Guiera senegalensis","","1","4.0","","50.0","","2.0",""
"0615","1","","","1","","","","","","","","","",""
"0594","2","1","1","1","DIC/CIN","Dichrostachys cinerea","","2","4.5","","0.5","","3.0",""
"0445","4","1","1","1","GUI/SEN","Guiera senegalensis","","2","6.0","","50.0","","2.5",""
"0445","4","2","1","2","GUI/SEN","Guiera senegalensis","","3","7.0","","100.0","","3.0",""
"0445","3","1","1","1","GUI/SEN","Guiera senegalensis","","1","6.0","","30.0","","3.0",""
"0445","3","2","1","2","GUI/SEN","Guiera senegalensis","","1","5.0","","70.0","","3.0",""
"0432","1","1","1","1","CAL/PRO","Calotropis procera","","4","7.0","","0.65","","3.0",""
"0432","1","1","1","2","CAL/PRO","Calotropis procera","","3","6.0","","0.65","","2.0",""
"0432","1","1","1","3","CAL/PRO","Calotropis procera","","1","5.0","","0.76","","2.0",""
"0432","1","2","1","4","CAL/PRO","Calotropis procera","","3","7.0","","100.0","","3.0",""
"0432","1","2","1","5","CAL/PRO","Calotropis procera","","1","9.0","","1.0","","3.0",""
"0432","1","2","1","6","CAL/PRO","Calotropis procera","","6","8.0","","70.0","","3.5",""
"0432","1","2","1","7","LEP/PYR","Leptadenia pyrotechnica","","5","6.0","","30.0","","2.5",""
"0432","1","2","1","8","CAL/PRO","Calotropis procera","","2","7.0","","40.0","","2.0",""
"0432","2","1","1","1","CAL/PRO","Calotropis procera","","7","11.0","","50.0","","3.0",""
"0432","2","2","1","2","CAL/PRO","Calotropis procera","","4","7.0","","60.0","","2.5",""
"0901","3","2","1","1","GUI/SEN","Guiera senegalensis","","1","3.0","","50.0","","2.0",""
"0901","4","1","1","1","GUI/SEN","Guiera senegalensis","","1","4.0","","50.0","","2.5",""
"0901","4","1","1","2","GUI/SEN","Guiera senegalensis","","1","3.0","","50.0","","2.5",""
"0901","4","2","1","3","GUI/SEN","Guiera senegalensis","","2","3.0","","50.0","","2.5",""
"0901","1","3","1","1","GUI/SEN","Guiera senegalensis","","1","5.0","","50.0","","3.0",""
"0901","1","3","1","2","GUI/SEN","Guiera senegalensis","","2","4.0","","50.0","","2.0",""
"0899","2","2","1","1","GRE","Grewia sp.","","12","6.0","","50.0","","2.5",""
"0559","2","2","1","1","GRE/TEN","Grewia tenax","","4","14.0","","1.3","","5.0",""
"0559","3","1","1","1","ACA/NUB","Acacia nubica","","4","5.0","","0.5","","1.5",""
"0559","3","3","1","2","BOC/SEN","Boscia senegalensis","","1","9.0","","0.5","","2.0",""
"0559","4","3","1","1","BOC/SEN","Boscia senegalensis","","3","9.0","","0.5","","2.0",""
"0559","4","3","1","2","GRE/TEN","Grewia tenax","","7","5.0","","0.5","","3.0",""
"0783","4","","","1","","","","","","","","","",""
"0641","3","2","1","1","GUI/SEN","Guiera senegalensis","","1","15.0","","0.5","","3.0",""
"0641","3","2","1","2","GUI/SEN","Guiera senegalensis","","1","15.0","","0.5","","3.0",""
"0519","2","1","1","1","BOC/SEN","Boscia senegalensis","","4","5.0","","50.0","","3.0",""
