"su_no","su_location_state","su_location_locality","su_location_village","su_location_gez","su_location_aez","su_location_su_altitude","su_location_su_altitude_unit_name","su_location_map_aerialphoto","su_location_sw_corner_location_srs","su_location_sw_corner_location_x","su_location_sw_corner_location_y","human_pop_ethnic_group","human_pop_years_since_settlement","human_pop_pop_dynamics","human_pop_pop_main_activity","human_pop_pop_main_activity_qualifier","human_pop_pop_secondary_activity","human_pop_pop_secondary_activity_qualifier","human_pop_nomadic_population_nomadic_hh_count","human_pop_nomadic_population_nomadic_avg_hh_size","human_pop_nomadic_population_ethnic_group_nomadic","human_pop_nomadic_population_period_in_su_from","human_pop_nomadic_population_period_in_su_to","proximity_all_weather_road","proximity_all_weather_road_unit_name","proximity_seasonal_road","proximity_seasonal_road_unit_name","proximity_settlement","proximity_settlement_unit_name","proximity_health_centre","proximity_health_centre_unit_name","proximity_veterinary_services","proximity_veterinary_services_unit_name","proximity_school","proximity_school_unit_name","proximity_food_market_place","proximity_food_market_place_unit_name","proximity_input_market_place","proximity_input_market_place_unit_name","access_to_su_starting_position_srs","access_to_su_starting_position_x","access_to_su_starting_position_y","access_to_su_access_start_time_hour","access_to_su_access_start_time_minute","access_to_su_access_end_time_hour","access_to_su_access_end_time_minute","access_to_su_arriving_at_plot","access_to_su_access_start_date_year","access_to_su_access_start_date_month","access_to_su_access_start_date_day","access_to_su_access_end_date_year","access_to_su_access_end_date_month","access_to_su_access_end_date_day","access_to_su_total_access_minutes","access_to_su_total_access_time_hour","access_to_su_total_access_time_minute","su_notes","crew_no","additional_member","add_member_name","crew_list_notes","route_sketch","route_sketch_notes","wildlife_notes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","51","","","","2018","1","28","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","13","","","","2018","1","29","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","13","","","","2018","1","29","","","","","","","","","","","","","",""
"0936","Southern Kordufan","Talody","Gardoud toro/hegerat/Angarto","SCs","3","509.0","","","EPSG:32636","244821.0","1182607.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32636","247195.568103238","1180000.20014124","10","42","10","46","","2018","4","16","2018","4","16","4","0","4","","","","","","","",""
"0434","Western Kordufan","Gebeish","Ub mosega","SBWh","2","525.0","","","EPSG:32635","606249.0","1372402.0","4","5","3","4","","2","","50","8","4","","","56.0","","1.0","","1.0","","18.0","","77.0","","1.0","","7.0","","56.0","","EPSG:32635","606494.0","1372646.0","12","30","12","36","1","2017","12","15","2017","12","15","6","0","6","","7","true","Mohammed Adam","","","","No wildlife seen in SU"
"0928","Western Kordufan","Abyei","Abuhumead","SCs","3","","","","EPSG:32635","565182.0","1181171.0","","","","","","","","100","7","4","","","41.0","","3.0","","7.0","","41.0","","41.0","","7.0","","7.0","","41.0","","EPSG:32635","565445.005314603","1181417.10003343","9","30","9","32","1","2018","2","17","2018","2","17","2","0","2","","7","false","","","","",""
"0689","Western Kordufan","Abyei","Ugaad villege","SCs","3","402.0","","","EPSG:32635","628458.0","1124342.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32635","628677.938554976","1124594.59545757","9","39","9","42","1","2018","2","22","2018","2","22","3","0","3","","7","false","","","","",""
"0692","Western Kordufan","Abyei","Bambo","SCs","3","391.0","","","EPSG:32635","754697.0","1125205.0","","","","","","","","","","","","","7.0","","2.0","","6.0","","20.0","","20.0","","6.0","","6.0","","20.0","","EPSG:32635","754960.571391332","1125985.17641229","8","15","8","21","2","2018","2","28","2018","2","28","6","0","6","","7","false","","","","",""
"0695","Southern Kordufan","Talody","Shebillo forest","SCs","3","515.0","","","EPSG:32636","265598.0","1125395.0","","","","","","","","","","","","","5.0","","1.0","","5.0","","5.0","","15.0","","5.0","","15.0","","85.0","","EPSG:32636","266025.906249965","1125804.06682757","8","35","8","50","1","2018","4","12","2018","4","12","15","0","15","","7","false","","","102726_3746.jpg","","No wildlife seen in SU No 0695"
"0543","Southern Kordufan","Abu Jibieha","Um Elkheirat","SCs","2","524.0","","","EPSG:32636","350116.0","1354167.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32636","350365.981014398","1354419.28382406","14","7","14","12","1","2018","4","25","2018","4","25","5","0","5","Easy to access plot 1","7","false","","","","",""
"0960","Southern Kordufan","Talody","Elsaraf","SCs","3","517.0","","","EPSG:32636","244639.0","1144519.0","","","","","","","","50","8","4","","","1.0","","0.0","","1.5","","12.0","","1.0","","1.0","","1.0","","12.0","","EPSG:32636","244889.747579477","1144752.0905767","10","44","10","49","1","2018","4","11","2018","4","11","5","0","5","Easy to access SU","7","false","","","99659_2878.jpg","","No wildlife seen in SU"
"0797","Western Kordufan","El Nohood","Brabash","SCs","2","496.0","","","EPSG:32635","689652.0","1372937.0","4","5","3","4","","2","","100","7","4","","","38.0","","1.0","","3.0","","3.0","","49.0","","3.0","","3.0","","49.0","","EPSG:32635","689865.964275915","1373187.23188171","8","40","8","50","1","2017","12","9","2017","12","9","10","0","10","","7","true","Basheer Adam","","","","No wildlife seen in SU"
"0902","Western Kordufan","Lagawa","Um kalka","SCs","3","","","","EPSG:32635","690867.0","1219925.0","","","","","","","","","","","","","14.0","","3.0","","14.0","","14.0","","14.0","","14.0","","14.0","","60.0","","EPSG:32635","691550.843775208","1220087.0666705","8","20","8","24","4","2018","3","2","2018","3","2","4","0","4","","7","","","","","",""
"0433","Western Kordufan","Gebeish","Umm dabia","SBWh","2","522.0","","","EPSG:32635","564554.0","1372233.0","4","5","3","4","","2","","0","0","0","","","85.0","","1.0","","1.0","","6.0","","34.0","","1.0","","1.0","","34.0","","EPSG:32635","564789.057439701","1372481.1239037","9","52","9","58","1","2017","12","14","2017","12","14","6","0","6","","7","true","Ibrahim Ahmed Adam Eltoum","","","","No wildlife seen in SU 433"
"0645","Western Kordufan","Kielak","Kielk regeba","SCf","3","427.0","","","EPSG:32635","753978.0","1201377.0","","","","","","","","","","","","","2.0","","1.0","","5.0","","5.0","","5.0","","5.0","","5.0","","50.0","","EPSG:32635","754222.748425992","1201628.33406539","12","0","12","6","1","2018","2","26","2018","2","26","6","0","6","","","","","","","",""
"0978","Southern Kordufan","Talody","Krondy","SCs","3","496.0","","","EPSG:32636","244467.0","1106479.0","","","","","","","","","","","","","8.0","","2.0","","8.0","","8.0","","23.0","","8.0","","8.0","","92.0","","EPSG:32636","244683.984120121","1106727.28043581","9","44","9","55","1","2018","4","13","2018","4","13","11","0","11","","7","false","","","","",""
"0953","Western Kordufan","Abyei","Setaib","SCs","3","413.0","","","EPSG:32635","607340.0","1143261.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32635","607590.385754519","1144009.11768307","9","24","9","26","2","2018","2","20","2018","2","20","2","0","2","","7","false","","","","",""
"0622","Southern Kordufan","Abu Jibieha","Saragia/ rasras","SCs","3","464.0","","","EPSG:32636","349910.0","1239422.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32636","350162.385332385","1239673.68673195","9","35","9","42","1","2018","4","20","2018","4","20","7","0","7","","","","","","","",""
"0799","Western Kordufan","Abu Zabad","Salamat","SCs","2","576.0","","","EPSG:32635","773086.0","1373739.0","","","","","","","","100","7","4","","","5.0","","1.0","","1.0","","4.0","","4.0","","2.0","","2.0","","31.0","","EPSG:32635","773332.988784318","1374486.80715937","8","30","8","35","1","2017","11","27","2017","11","27","5","0","5","","7","true","Farm osman Esmael","","","","No wildlife  seen"
"0961","Southern Kordufan","Talody","Um sfafeer","SCs","3","","","","EPSG:32636","286702.0","1144332.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","41","","","","2018","4","15","","","","","","","","","","","","","",""
"0910","Southern Kordufan","Abu Jibieha","Gedaid","SCs","3","520.0","","","EPSG:32636","370848.0","1220309.0","","","","","","","","","","","","","6.0","","2.0","","6.0","","6.0","","32.0","","6.0","","6.0","","56.0","","EPSG:32636","370683.726345051","1221021.38352998","9","45","9","49","1","2018","4","22","2018","4","22","4","0","4","","7","false","","","","",""
"0871","Western Kordufan","El Salam","Balilla","SCs","3","554.0","","","EPSG:32635","648690.0","1257816.0","","","","","","","","","","","","","7.0","","1.0","","19.0","","19.0","","9.0","","19.0","","65.0","","65.0","","EPSG:32635","648897.577226301","1258074.8009744","8","35","8","38","1","2018","3","7","2018","3","7","3","0","3","","7","false","","","","",""
"0613","Western Kordufan","El Salam","Balila","SCs","3","454.0","","","EPSG:32635","627855.0","1238610.0","7","90","90","0","","0","","","","","","","7.0","","0.0","","13.0","","13.0","","13.0","","13.0","","13.0","","50.0","","EPSG:32635","628067.994868492","1238826.59467655","7","46","7","50","1","2018","3","8","2018","3","8","4","0","4","The SU 613 is about 13 km north west to Baillila village no population near the SU","7","false","","","77857_2108.jpg","","No wild life saw"
"0522","Southern Kordufan","Alrshad","Totah","SCs","2","550.0","","","EPSG:32636","308524.0","1392669.0","","","","","","","","10","8","4","","","4.5","","1.0","","4.0","","4.0","","48.0","","4.0","","9.0","","28.0","","EPSG:32636","308774.851278927","1392912.17830969","8","43","8","46","1","2018","4","28","2018","4","28","3","0","3","","7","false","","","","","No wildlife seen in SU"
"0640","Western Kordufan","Abyei","Um elbasher","SCs","3","","","","EPSG:32635","544144.0","1200164.0","","","","","","","","","","","","","45.0","","6.0","","6.0","","6.0","","50.0","","6.0","","50.0","","50.0","","EPSG:32635","544353.459997574","1200406.95996499","9","20","9","26","1","2018","2","14","","","","","","","","7","false","","","","",""
"0567","Southern Kordufan","Abu Jibieha","Seraiha","SCs","2","495.0","","","EPSG:32636","391831.0","1315797.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32636","392582.433106491","1316550.44390025","7","51","7","56","3","2018","4","26","2018","4","26","5","0","5","","7","false","","","","",""
"0435","Western Kordufan","El Nohood","Absaka  um ghabesh","SCs","2","628.0","","","EPSG:32635","647948.0","1372636.0","4","5","0","4","","2","","10","7","4","","","6.0","","1.0","","5.0","","1.0","","26.0","","1.0","","26.0","","26.0","","EPSG:32634","1302357.62026901","1383656.01438359","8","26","15","36","1","2017","11","29","2017","11","30","1870","31","10","","7","true","Hamid ismael mohammdy","","","","No wildlife seen in su 435"
"0518","Western Kordufan","Abu Zabad","Alhemeir","SCs","2","628.0","","","EPSG:32635","752018.0","1392708.0","4","5","2","4","","2","","60","7","4","","","26.0","","11.0","","11.0","","13.0","","13.0","","5.0","","13.0","","28.0","","EPSG:32635","752268.0","1392955.0","8","15","18","5","1","2017","11","26","2017","11","26","590","9","50","","3","false","","","","","No wild life in su"
"0558","Western Kordufan","Lagawa","Elbja","SCs","3","529.0","","","EPSG:32635","669222.0","1315303.0","4","5","3","1","","2","","2500","7","4","","","3.0","","1.0","","3.0","","4.0","","35.0","","5.0","","4.0","","35.0","","EPSG:32635","669475.430494745","1315541.8487607","8","10","8","18","1","2017","12","10","2017","12","10","8","0","8","","7","true","Bashere   Mohammed mulah","","","S","No  wildlife seen"
"0614","Western Kordufan","Lagawa","Balila airport","SCs","3","508.0","","","EPSG:32635","669764.0","1238858.0","4","5","90","0","","0","","","","","","","1.0","","0.0","","16.0","","16.0","","16.0","","16.0","","16.0","","60.0","","EPSG:32635","669996.293504851","1239087.80622158","11","0","11","5","1","2018","3","6","2018","3","6","5","0","5","","7","false","","","","","Their no wild life in SU 614"
"0615","Western Kordufan","Lagawa","Hababk forest","SCs","3","585.0","","","EPSG:32635","711680.0","1239168.0","","","","","","","","","","","","","1.0","","0.0","","10.0","","29.0","","29.0","","10.0","","29.0","","29.0","","EPSG:32635","712375.260532223","1239969.7760377","12","49","12","50","3","2018","3","3","2020","5","11","1152001","19200","1","J","","","","","68072_885.jpg","D",""
"0557","Western Kordufan","El Salam","Shag elketr","SCs","3","536.0","","","EPSG:32635","627429.0","1315043.0","6","5","2","4","","2","","100","7","4","","","8.0","","1.0","","3.0","","20.0","","20.0","","23.0","","20.0","","20.0","","EPSG:32635","627694.895146911","1315825.42283186","8","40","11","30","2","2017","12","2","2017","12","3","1610","26","50","","7","true","Abdulmalik Mohamed Elhassan","","14186_3279.jpg","","There rabbit"
"0535","Western Kordufan","Gebeish","Hemera","SCs","2","565.0","","","EPSG:32635","668942.0","1353606.0","4","5","3","1","","2","","50","6","4","","","32.0","","2.0","","0.0","","14.5","","50.0","","0.0","","50.0","","50.0","","EPSG:32635","669176.601594054","1353859.29736858","9","11","9","17","1","2018","3","10","2018","3","10","6","0","6","","7","false","","","","","No wildlife seen in SU"
"0825","Southern Kordufan","Abu Jibieha","Gadom elgabl","SCs","3","","","","EPSG:32636","370959.0","1334966.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32636","371202.836159001","1335207.96791491","10","29","10","32","1","2018","4","24","2018","4","24","3","0","3","","","","","","","",""
"0594","Southern Kordufan","Abu Jibieha","Mabroka","SCs","3","521.0","","","EPSG:32636","391821.0","1277554.0","","","","","","","","","","","","","2.0","","0.0","","9.0","","9.0","","47.0","","9.0","","9.0","","47.0","","EPSG:32636","392072.961418273","1277795.43296228","8","46","8","48","1","2018","4","21","2018","4","21","2","0","2","","7","false","","","","","No wildlife seen in SU"
"0445","Western Kordufan","Gebeish","Syal/retert","SCs","3","500.0","","","EPSG:32635","564684.0","1333913.0","4","5","3","4","","2","","30","5","4","","","103.0","","5.0","","5.0","","35.0","","35.0","","5.0","","5.0","","35.0","","EPSG:32635","565406.492206599","1334161.0637861","7","25","7","27","4","2017","12","12","2017","12","12","2","0","2","","7","false","","","","","No wild life observed."
"0432","Western Kordufan","Gebeish","He met haseepl","SBWh","2","496.0","","","EPSG:32635","522862.0","1372131.0","","5","3","4","","2","","100","7","4","","","108.0","","1.0","","2.0","","2.0","","2.0","","2.0","","2.0","","31.0","","EPSG:32635","523133.0","1372397.0","10","0","10","5","1","2017","12","13","2017","12","13","5","0","5","","7","false","","","","","No wildlife seen in su No 0432"
"0901","Western Kordufan","El Salam","Balilla","SCs","3","545.0","","","EPSG:32635","648926.0","1219650.0","","","","","","","","","","","","","7.0","","1.0","","25.0","","25.0","","25.0","","25.0","","25.0","","65.0","","EPSG:32635","649701.1050393","1220391.4045599","8","45","8","47","3","2018","3","9","","","","","","","","7","false","","","","",""
"0899","Western Kordufan","Abyei","Fula geger","SCs","3","427.0","","","EPSG:32635","565061.0","1219279.0","","","","","","","","200","5","4","","","16.0","","2.0","","16.0","","16.0","","16.0","","16.0","","16.0","","16.0","","EPSG:32635","565279.361246256","1219466.8485967","11","40","11","42","1","2018","2","13","2018","2","13","2","0","2","","7","false","","","","",""
"0644","Western Kordufan","Kielak","Shaalobyia","SCs","","498.0","","","EPSG:32635","711998.0","1201016.0","7","5","","","","","","30","5","4","","","36.0","","2.0","","2.0","","15.0","","15.0","","15.0","","15.0","","36.0","","EPSG:32635","712784.783324702","1201254.74647384","9","20","9","22","4","2018","3","1","2018","3","1","2","0","2","","7","false","","","65649_1613.jpg","","No wildlife have been  seen  in su or in the surroundings"
"0559","Western Kordufan","Lagawa","Aldarga","SCs","3","566.0","","","EPSG:32635","711022.0","1315626.0","","","","","","","","500","7","4","","","28.0","","3.0","","12.0","","12.0","","12.0","","13.0","","12.0","","24.0","","EPSG:32635","711273.223761582","1315881.65005355","9","40","9","48","1","2017","12","8","2017","12","8","8","0","8","","7","true","Hamid  Esmael","","","",""
"0956","Western Kordufan","Kielak","Debeker","SCs","3","434.0","","","EPSG:32635","733489.0","1144049.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32635","733599.0","1144793.0","10","26","10","30","2","2018","2","27","2018","2","27","4","0","4","","7","false","","","","",""
"0879","Southern Kordufan","Abu Jibieha","Um fashouk","SCs","3","544.0","","","EPSG:32636","328999.0","1258566.0","4","5","2","1","","2","","300","6","4","","","24.0","","0.0","","2.0","","5.0","","24.0","","5.0","","2.0","","24.0","","EPSG:32636","329237.248520456","1259297.3212455","12","0","12","5","2","2018","4","17","2018","4","17","5","0","5","","7","false","","","","",""
"0676","Southern Kordufan","Talody","Elshag","SCs","3","526.0","","","EPSG:32636","265748.0","1163454.0","","","","","","","","","","","","","8.0","","4.0","","11.0","","11.0","","33.0","","25.0","","11.0","","40.0","","EPSG:32636","265987.263161918","1163682.32717345","10","30","10","44","1","2018","4","15","2018","4","15","14","0","14","","7","false","","","","",""
"0783","Western Kordufan","Abu Zabad","Umgamena","SCs","2","631.0","","","EPSG:32635","772639.0","1412147.0","","","","","","","","50","7","4","","","30.0","","7.0","","6.0","","6.0","","5.0","","1.0","","5.0","","80.0","","EPSG:32635","772879.0","1412378.0","14","42","14","20","1","2017","11","24","2017","11","25","1418","23","38","Easy to accessing sample unit the community cooperate with us","7","true","Abdulghani Mohammed Ibrahim","","4538_874.jpg","Western part of tag no  village (forests  circle)","There a few number of small wildlife like rabbit and wildhends"
"0803","Southern Kordufan","Alrshad","Dabadeb","SCs","2","550.0","","","EPSG:32636","329304.0","1373401.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32636","329555.584284806","1373663.57155888","10","45","10","48","1","2018","4","27","2018","4","27","3","0","3","","7","false","","","","","No wild life in SU"
"0872","Western Kordufan","Lagawa","Debt Abeed","SCs","3","520.0","","","EPSG:32635","690574.0","1258098.0","","","","","","","","","","","","","40.0","","1.0","","12.0","","12.0","","40.0","","12.0","","40.0","","40.0","","EPSG:32635","690781.006213796","1258333.4354941","10","40","10","45","1","2018","3","4","","","","","","","","7","false","","","","",""
"0641","Western Kordufan","Abyei","Eldrouta","SCs","3","430.0","","","EPSG:32635","586101.0","1200288.0","","","","","","","","","","","","","7.0","","5.0","","9.0","","19.0","","19.0","","9.0","","19.0","","19.0","","EPSG:32635","586359.790401388","1200999.02972517","10","18","10","20","2","2018","2","18","2018","2","18","2","0","2","","7","","","","42109_3278.jpg","",""
"0519","Southern Kordufan","El Dalanj","","SCs","3","650.0","","","EPSG:32635","793713.0","1393181.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32635","794467.466120058","1393682.79751055","12","7","12","12","2","2018","4","8","2018","4","8","5","0","5","","7","false","","","","","No wildlife seen in SU"
"0952","Western Kordufan","Abyei","Gallaha","SCs","3","397.0","","","EPSG:32635","565301.0","1143112.0","","","","","","","","","","","","","7.0","","2.0","","9.0","","9.0","","51.0","","9.0","","9.0","","51.0","","EPSG:32635","566023.767448468","1143867.21205713","9","25","9","29","3","2018","2","21","2018","2","21","4","0","4","","7","","","","","",""
